chance_id,business_unit,org_country,pricelist,amount,deal_age,pred_win_prob,action,action_reason,top_drag_feature,top_drag_shap
001e303a87a7e2be,5,6b7e1f5b521de19b,d4f34f97b6d22a81,1831.3315201273049,0,5.3682579891756174e-05,Schedule customer touchpoint,No critical risk signals. Maintain momentum with a scheduled check-in.,probability,-5.166637897491455
001e7a5151ff24c0,5,6b7e1f5b521de19b,d4f34f97b6d22a81,15972.889957950816,0,0.0010298014618456363,Stabilise deal scope,Amount fluctuating heavily. Unclear scope is blocking commitment — define clear deliverables.,probability,-5.107183456420898
003ba2054d7d12e2,3,6b7e1f5b521de19b,,5904.2113289495155,0,0.0,Advance to next stage,Deal stuck in early stage. Push for a formal proposal or demonstration to progress.,probability,-5.694550514221191
003c407f17a994b6,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,1.170863568534039,197,0.001490003033541143,Set hard close deadline,Saledate pushed >90 days total. Stop extensions — force a yes/no customer decision.,probability,-5.426691055297852
00431ebe041c5df6,4,38080774be85927f,28c9c64e5918b06e,1.170863568534039,0,0.0,Advance to next stage,Deal stuck in early stage. Push for a formal proposal or demonstration to progress.,probability,-5.161257743835449
00498009cd467686,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,4528.9743595906375,0,0.43719517923891543,Advance to next stage,Deal stuck in early stage. Push for a formal proposal or demonstration to progress.,probability,-0.7695816159248352
004ddea55262ae2c,4,b4d1bda83fb7745f,28c9c64e5918b06e,59820.408923654235,0,0.0,Advance to next stage,Deal stuck in early stage. Push for a formal proposal or demonstration to progress.,probability,-5.694540977478027
0064bd4b26020ee8,3,6b7e1f5b521de19b,,25102.753943361105,0,0.0,Advance to next stage,Deal stuck in early stage. Push for a formal proposal or demonstration to progress.,probability,-5.87085485458374
0070efc1485bb975,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,48317.27233820542,290,0.0,Set hard close deadline,Saledate pushed >90 days total. Stop extensions — force a yes/no customer decision.,probability,-5.654709815979004
007595db7bd39f16,4,75c64824a2a4e380,28c9c64e5918b06e,1317635.614295442,0,0.00211046589538455,Schedule customer touchpoint,No critical risk signals. Maintain momentum with a scheduled check-in.,probability,-4.995577335357666
